"","GEOID","year","FRR_NAME","county","percf_acr","percf_op","diff"
"2359","46055",2017,"Northern Great Plains","Haakon",22.68,21.26,1.42
"2360","46057",2017,"Northern Great Plains","Hamlin",20.26,21.97,-1.71
"2361","46059",2017,"Northern Great Plains","Hand",15.24,19.74,-4.5
"2362","46061",2017,"Heartland","Hanson",19.17,20.64,-1.47
"2363","46063",2017,"Northern Great Plains","Harding",31.49,32.04,-0.550000000000001
"2364","46065",2017,"Northern Great Plains","Hughes",14.62,20.49,-5.87
"2365","46067",2017,"Heartland","Hutchinson",18.34,20.36,-2.02
"2366","46069",2017,"Northern Great Plains","Hyde",19.15,24.88,-5.73
"2367","46071",2017,"Northern Great Plains","Jackson",18.23,20.37,-2.14
"2368","46073",2017,"Northern Great Plains","Jerauld",12.1,19.58,-7.48
"2369","46075",2017,"Northern Great Plains","Jones",17,23.63,-6.63
"2370","46077",2017,"Heartland","Kingsbury",17.49,18.99,-1.5
"2371","46079",2017,"Heartland","Lake",14,19.22,-5.22
"2372","46081",2017,"Northern Great Plains","Lawrence",11.46,31.62,-20.16
"2373","46083",2017,"Heartland","Lincoln",9.9,17.41,-7.51
"2374","46085",2017,"Northern Great Plains","Lyman",16.05,20.84,-4.79
"2375","46087",2017,"Heartland","McCook",16.49,21.73,-5.24
"2376","46089",2017,"Northern Great Plains","McPherson",21.17,22.56,-1.39
"2377","46091",2017,"Northern Great Plains","Marshall",15.05,22.54,-7.49
"2378","46093",2017,"Northern Great Plains","Meade",23.9,28.88,-4.98
"2379","46095",2017,"Northern Great Plains","Mellette",26.01,31.07,-5.06
"2380","46097",2017,"Heartland","Miner",17.91,18.63,-0.719999999999999
"2381","46099",2017,"Heartland","Minnehaha",19.02,26.44,-7.42
"2382","46101",2017,"Heartland","Moody",12.39,21.03,-8.64
"2383","46102",2017,"Northern Great Plains","Oglala Lakota",20.12,28.57,-8.45
"2384","46103",2017,"Northern Great Plains","Pennington",20.36,34.52,-14.16
"2385","46105",2017,"Northern Great Plains","Perkins",23.87,27.22,-3.35
"2386","46107",2017,"Northern Great Plains","Potter",18.4,24.9,-6.5
"2387","46109",2017,"Northern Great Plains","Roberts",14.29,21.65,-7.36
"2388","46111",2017,"Heartland","Sanborn",19.76,21.05,-1.29
"2389","46115",2017,"Northern Great Plains","Spink",15.59,19.08,-3.49
"2390","46117",2017,"Northern Great Plains","Stanley",15.67,26.61,-10.94
"2391","46119",2017,"Northern Great Plains","Sully",26,24.18,1.82
"2392","46121",2017,"Northern Great Plains","Todd",9.84,19.55,-9.71
"2393","46123",2017,"Northern Great Plains","Tripp",17.63,22.24,-4.61
"2394","46125",2017,"Heartland","Turner",16.65,21.18,-4.53
"2395","46127",2017,"Heartland","Union",10.99,15.42,-4.43
"2396","46129",2017,"Northern Great Plains","Walworth",15.3,18.54,-3.24
"2397","46135",2017,"Heartland","Yankton",9.83,18.23,-8.4
"2398","46137",2017,"Northern Great Plains","Ziebach",22,25.38,-3.38
"2399","47001",2017,"Eastern Uplands","Anderson",24.32,25.63,-1.31
"2400","47003",2017,"Eastern Uplands","Bedford",25.06,33.13,-8.07
"2401","47005",2017,"Mississippi Portal","Benton",23.66,28.69,-5.03
"2402","47007",2017,"Eastern Uplands","Bledsoe",25.13,29.57,-4.44
"2403","47009",2017,"Eastern Uplands","Blount",24.45,32.33,-7.88
"2404","47011",2017,"Eastern Uplands","Bradley",24.8,31.18,-6.38
"2405","47013",2017,"Eastern Uplands","Campbell",20.03,26.6,-6.57
"2406","47015",2017,"Eastern Uplands","Cannon",22.46,28,-5.54
"2407","47017",2017,"Mississippi Portal","Carroll",19.59,26.08,-6.49
"2408","47019",2017,"Eastern Uplands","Carter",16.65,26.27,-9.62
"2409","47021",2017,"Mississippi Portal","Cheatham",21.56,27.37,-5.81
"2410","47023",2017,"Mississippi Portal","Chester",22.8,30.18,-7.38
"2411","47025",2017,"Eastern Uplands","Claiborne",18.18,25.95,-7.77
"2412","47027",2017,"Eastern Uplands","Clay",19.74,27.88,-8.14
"2413","47029",2017,"Eastern Uplands","Cocke",21.06,29.1,-8.04
"2414","47031",2017,"Eastern Uplands","Coffee",18.77,31.43,-12.66
"2415","47033",2017,"Mississippi Portal","Crockett",15.23,21.9,-6.67
"2416","47035",2017,"Eastern Uplands","Cumberland",20.03,31.64,-11.61
"2417","47037",2017,"Eastern Uplands","Davidson",32.76,36.36,-3.6
