GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "01051","Elmore, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",68.113,73.106,78.019,85.747,88.492,90.954,94.015,94.834,96.476,100.201,99.440,100.000,104.093,101.548,103.325,105.345,106.933,108.100,109.047
 "01051","Elmore, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",872033,951665,1028531,1152359,1218358,1289821,1368866,1396839,1459549,1522526,1530673,1567279,1663035,1660450,1725677,1784998,1843878,1905416,1968275
 "01053","Escambia, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1175940,1175691,1145914,1230973,1312184,1356450,1401810,1336434,1325842,1273665,1242502,1238072,1250555,1213296,1189363,1186467,1196818,1216107,1244239
 "01053","Escambia, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",94.982,94.961,92.556,99.427,105.986,109.562,113.225,107.945,107.089,102.875,100.358,100.000,101.008,97.999,96.066,95.832,96.668,98.226,100.498
 "01053","Escambia, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",878554,869635,900102,1017729,1158841,1230157,1316520,1371193,1213534,1236376,1248511,1238072,1288274,1274907,1196880,1195676,1250434,1315032,1353040
 "01055","Etowah, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",2617259,2666714,2689313,2831850,2831155,2831844,2819335,2819165,2754121,2810206,2828863,2804122,2792996,2783298,2837797,2851486,2873797,2911022,2915965
 "01055","Etowah, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",93.336,95.100,95.906,100.989,100.964,100.989,100.543,100.536,98.217,100.217,100.882,100.000,99.603,99.257,101.201,101.689,102.485,103.812,103.989
 "01055","Etowah, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",2055972,2139593,2190737,2359677,2417794,2496073,2549349,2603196,2626375,2695319,2753803,2804122,2852227,2896115,3031903,3101279,3162568,3262625,3348964
 "01057","Fayette, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",393629,372308,377644,397751,404861,412660,395967,490853,473734,525892,479074,458457,420763,337809,344251,345019,327068,333764,343241
 "01057","Fayette, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",85.860,81.209,82.373,86.759,88.310,90.011,86.369,107.066,103.332,114.709,104.497,100.000,91.778,73.684,75.089,75.257,71.341,72.802,74.869
 "01057","Fayette, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",302769,288741,298475,322236,335117,347601,340779,438286,430849,498661,472204,458457,422272,345795,359205,366260,353331,369250,386218
